Feature	Distribution
destination_port	lognorm
flow_duration	gamma
total_fwd_packets	rayleigh
total_backward_packets	rayleigh
total_length_of_fwd_packets	rayleigh
total_length_of_bwd_packets	rayleigh
fwd_packet_length_max	cauchy
fwd_packet_length_min	expon
fwd_packet_length_mean	cauchy
fwd_packet_length_std	expon
bwd_packet_length_max	cauchy
bwd_packet_length_min	chi2
bwd_packet_length_mean	cauchy
bwd_packet_length_std	gamma
flow_bytes/s	chi2
flow_packets/s	expon
flow_iat_mean	expon
flow_iat_std	expon
flow_iat_max	exponpow
flow_iat_min	exponpow
fwd_iat_total	gamma
fwd_iat_mean	expon
fwd_iat_std	chi2
fwd_iat_max	exponpow
fwd_iat_min	expon
bwd_iat_total	exponpow
bwd_iat_mean	expon
bwd_iat_std	expon
bwd_iat_max	expon
bwd_iat_min	expon
fwd_psh_flags	gamma
fwd_urg_flags	rayleigh
fwd_header_length	rayleigh
bwd_header_length	rayleigh
fwd_packets/s	expon
bwd_packets/s	expon
min_packet_length	cauchy
max_packet_length	cauchy
packet_length_mean	exponpow
packet_length_std	cauchy
packet_length_variance	expon
fin_flag_count	expon
syn_flag_count	gamma
rst_flag_count	rayleigh
psh_flag_count	chi2
ack_flag_count	gamma
urg_flag_count	expon
cwe_flag_count	rayleigh
ece_flag_count	rayleigh
down/up_ratio	chi2
average_packet_size	exponpow
avg_fwd_segment_size	cauchy
avg_bwd_segment_size	cauchy
fwd_header_length.1	rayleigh
subflow_fwd_packets	rayleigh
subflow_fwd_bytes	chi2
subflow_bwd_packets	rayleigh
subflow_bwd_bytes	rayleigh
init_win_bytes_forward	cauchy
init_win_bytes_backward	expon
act_data_pkt_fwd	rayleigh
min_seg_size_forward	cauchy
active_mean	expon
active_std	expon
active_max	expon
active_min	expon
idle_mean	expon
idle_std	expon
idle_max	exponpow
idle_min	exponpow
